Song Name,Singer,Lyrics
"Alexandrie, Alexandra",Claude François,"Ha! Ah!
Ha! Ah!
Voile sur les filles, barques sur le Nil
Je suis dans ta vie, je suis dans tes bras
Alexandra, Alexandrie
Alexandrie où l'amour danse avec la nuit
J'ai plus d'appétit qu'un barracuda (barracuda)
Je boirai tout le Nil si tu me retiens pas
Je boirai tout le Nil si tu me retiens pas
Alexandrie, Alexandra
Alexandrie où l'amour danse au fond des bras
Ce soir j'ai de la fièvre et toi, tu meurs de froid
Les sirènes du port d'Alexandrie
Chantent encore la même mélodie
Ho ho
La lumière du phare d'Alexandrie
Fait naufrager les papillons de ma jeunesse
Ha! Ah!
Ha! Ah!
Voile sur les filles et barques sur le Nil
Je suis dans ta vie, je suis dans tes draps
Alexandra, Alexandrie
Alexandrie où tout commence et tout finit
J'ai plus d'appétit qu'un barracuda (barracuda)
Je te mangerai crue si tu me retiens pas
Je te mangerai crue si tu me retiens pas
Alexandrie, Alexandra
Alexandrie ce soir je danse dans tes draps
Je te mangerai crue si tu me retiens pas
Les sirènes du port d'Alexandrie
Chantent encore la même mélodie
Ho ho
La lumière du phare d'Alexandrie
Fait naufrager les papillons de ma jeunesse
Ha! Ah!
Ha! Ah!
Voile sur les filles, barques sur le Nil
Alexandrie, Alexandra
Ce soir j'ai de la fièvre et toi, tu meurs de froid
Ce soir je danse, je danse, je danse dans tes bras
Allez danse! Oui danse
Danse, danse, danse, danse
Alexandrie, Alexandra
Ce soir je danse, je danse, je dans dans tes bras"
Allumer le feu,Johnny Hallyday,"Tourner le temps à l'orage
Revenir à l'état sauvage
Forcer les portes, les barrages
Sortir le loup de sa cage
Sentir le vent qui se déchaîne
Battre le sang dans nos veines
Monter le son des guitares
Et le bruit des motos qui démarrent
Il suffira d'une étincelle
D'un rien, d'un geste
Il suffira d'une étincelle
Et d'un mot d'amour
Pour
Allumer le feu
Allumer le feu
Et faire danser les diables et les dieux
Allumer le feu
Allumer le feu
Et voir grandir la flamme dans vos yeux
Allumer le feu
Laisser derrière toutes nos peines
Nos haches de guerre, nos problèmes
Se libérer de nos chaînes
Lâcher le lion dans l'arène
Je veux la foudre et l'éclair
L'odeur de poudre, le tonnerre
Je veux la fête et les rires
Je veux la foule en délire
Il suffira d'une étincelle
D'un rien, d'un contact
Il suffira d'une étincelle
D'un peu de jour
Pour
Allumer le feu
Allumer le feu
Et faire danser les diables et les dieux
Allumer le feu
Allumer le feu
Et voir grandir la flamme dans vos yeux
Allumer le feu
Il suffira d'une étincelle
D'un rien, d'un geste
Il suffira d'une étincelle
D'un mot d'amour pour
Allumer le feu
Allumer le feu
Et faire danser les diables et les dieux
Allumer le feu
Allumer le feu
Et voir grandir la flamme dans vos yeux
Oh, allumer le feu
Allumer le feu
Et faire danser, les diables et les dieux
Allumer le feu (allumer le feu)
Allumer le feu (allumer le feu)"
Alors on danse,Stromae,"Alors on
Alors on
Alors on
Qui dit étude dit travail
Qui dit taf te dit les thunes
Qui dit argent dit dépenses
Et qui dit crédit dit créance
Qui dit dette te dit huissier
Et lui dit assis dans la merde
Qui dit amour dit les gosses
Dit toujours et dit divorce
Qui dit proches te dit deuils
Car les problèmes ne viennent pas seuls
Qui dit crise te dit monde
Dit famine, dit tiers-monde
Et qui dit fatigue dit réveil
Encore sourd de la veille
Alors on sort pour oublier tous les problèmes
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Et là tu te dis que c'est fini
Car pire que ça ce serait la mort
Quand tu crois enfin que tu t'en sors
Quand y en a plus et ben y en a encore
Est-ce la zik ou les problèmes?
Les problèmes ou bien la musique
Ça te prend les tripes, ça te prend la tête
Et puis tu pries pour que ça s'arrête
Mais c'est ton corps, c'est pas le ciel
Alors tu te bouches plus les oreilles
Et là tu cries encore plus fort
Et ça persiste
Alors on chante
La-la-la-la-la-la
La-la-la-la-la-la
Alors on chante
La-la-la-la-la-la
La-la-la-la-la-la
Alors on chante
Alors on chante
Et puis seulement quand c'est fini
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Alors on danse
Et ben y en a encore
Et ben y en a encore
Et ben y en a encore
Et ben y en a encore
Et ben y en a encore"
Amour plastique,"Adèle Castillon, Mattyeux, and Videoclub","Dans mon esprit tout divague, je me perds dans tes yeux
Je me noie dans la vague de ton regard amoureux
Je ne veux que ton âme divaguant sur ma peau
Une fleur, une femme dans ton cœur Roméo
Je ne suis que ton nom, le souffle lancinant
De nos corps dans le sombre animés lentement
Et la nuit je pleure des larmes qui coulent le long de mes joues
Je ne pense à toi que quand le jour sombre, que s'abattent sur moi
Mes tristes démons, dans l'abîme sans fond
Aime-moi jusqu'à ce que les roses fanent
Que nos âmes sombrent dans les limbes profondes
Et la nuit, quand tout est sombre, je te regarde danser
Je résonne en baisers, le long de ta poitrine
Perdue dans l'avalanche de mon cœur égaré
Qui es-tu, où es-tu
Par les pleurs, par les rires de ton ombre effarée
Je résonne en baisers
Dans mon esprit tout divague, je me perds dans tes yeux
Je me noie dans la vague de ton regard amoureux
Je ne veux que ton âme divaguant sur ma peau
Une fleur, une femme dans ton cœur Roméo
Je ne suis que ton nom, le souffle lancinant
De nos corps dans le sombre animés lentement
Et la nuit quand tout est sombre je te regarde danser"
Bande organisée,13' Organisé,"Oui, ma gâtée, RS4 gris nardo, bien sûr qu'ils m'ont raté (gros, bien sûr)
Soleil dans la bulle, sur le Prado, Shifter pro' (Shifter pro')
Contre-sens (ah), ma chérie, tu es à contre-sens
Puta, où tu étais quand j'mettais des sept euros d'essence (hein)
Tu veux nous faire la guerre (hein), par Dieu, c'est B (ah)
Ça prend ton Audi, ça prend ta gadji, ça prend ta CB (eh, eh)
Le téléphone bippe (brr), que tu prends la kew (ew)
C'est Marseille, bébé (ah), sa mère un CDD (ah)
Wesh alors, ma race, tranquille ou quoi (oh, mathafuck)
Grimpe dans la tchop, j'fais 0 à 100 en 2 secondes 3
Guitarisé, oh, AC/DC, oh, on s'croise, c'est sûr, tu es tétanisé
J'ai passé la bague à Tchikita, deux mois après, j'l'ai déjà quitté (ah, ah)
T'es un petit bâtard, j'suis un apache, j'suis un Diakité (eh)
J'suis le capitaine (eh), j'vais les décapiter (eh)
C'est pas la capitale (nan), c'est Marseille, bébé (pah, pah, pah)
1.3, Audi Sport, j'passe la douane, les rapports
Nique ta mère sur la Canebière, nique tes morts sur le Vieux-Port (Santé & Honneur)
Mi amor, c'est les quartiers Sud, c'est les quartiers Nord
Nique ta mère sur la Canebière, nique tes morts sur le Vieux-Port (ah)
J'suis à la zone, sans casque sur un scooter kit-é
Oublie-la, c'est une puta, elle t'a quitté
J'suis ailleurs, c'est d'la moula qu'j'ai effrité
Depuis t'à l'heure, que ça me nique mon briquet
Rafale, flow bazookaw, j'ai des potes qui s'déplacent au cas où
La moto, elle fait ""brm, brm, brm, brm"", toujours là, demande à Tikow
J'suis dans l'game en claquettes, survêt'
J'fuck les folles qui parlent de moi sur l'net
J'suis sous potion là, j'tire 2-3 sur l'pét'
Au fait, on grimpe, envoie les zéros sur l'chèque
Ah, ah, poto, que pasa, ah, ah, dans la cabesa
Ah, ah, grr, ratata, ah, ah, pour les mapesa
Ah, ah, poto, que pasa, ah, ah, dans la cabesa
Ah, ah, grr, ratata, ah, ah, pour les mapesa
Plus besoin d'aller chez Lacoste depuis qu'j'suis fait d'or et d'platine
Et sur Twitter, j'vois leurs posts, nique leurs mères ceux qui parlent mal d'la team
En bande organisée, personne peut nous canaliser
Dans la zone, ça fume la fusée, pisté par les banalisées
Hasta luego, fais-en un, hasta luego, fais-en deux
Hasta luego, ouh, ouh, hasta luego, bam, bam
C'est du 24 carats (nan), j'rappe depuis l'époque de Cara
La technique, le flow de malade, artistiquement, on se balade (ok)
T-Max, casque Araï, recherché à kech-Marra
J'lui envoie une frappe imparable, j'fais couler son mascara (ah, ah)
Le J, c'est le S (ok), hum, j'sors le RS (vroum, vroum)
Une liasse épaisse, arlabelek', N.A.P.S (ah, ah)
Le, le J, c'est le S (ok), hum, j'sors le RS (vroum, vroum)
Une liasse épaisse, arlabelek', N.A.P.S (ok)
Yo, cesse ton baratin (yeah), t'es qu'un fils de bar à tain-p' (ah)
J'commence le rap avec 7 et 3, à la rivière, j'ai touché la quinte
Yo, j'vise l'or, le platine (ah), à la base, c'était les assises
J'suis un peu d'Zampa, un peu d'Zizou (coup), j'offre un Ricard à Poutine
Jeune trafiquant dans le bâtiment, cavale comme Usain Bolt (ah, ah)
Je connais le maniement de mon département, le soir, pour te froisser ta go' (ah, ah, ah)
Et ça fait, zumba, caféw, caféw, carnaval
J'suis dans l'4x4 teinté, pisté par la banal'
Et ça fait, zumba, caféw, caféw, carnaval
J'suis dans l'4x4 teinté, pisté par la banal'
En bande organisée, personne peut nous canaliser
Dans la zone, ça fume la fusée, pisté par les banalisées
Hasta luego, fais-en un, hasta luego, fais-en deux
Hasta luego, ouh, ouh, hasta luego, bam, bam
Égal, illégal (eh), Alpha, Oméga (vroum)
On fait coup d'état, balle dans la te-tê, c'est la cuenta (vroum)
Poursuite, y a les bleus (bleus), serein, j'sors d'la bleue (bleue)
Ter-ter, guidon, logistique, par terre, du sang balistique
A-tchu-tchu-tcha (tcha), c'est une salvatrucha ('cha)
Trafic haram (ah), Marseille, on trouve des cadavres (ouais)
Marseille hala, plus d'âme, les petits passent à l'acte (ouais)
Milli', j'veux l'milli' comme l'OVNI (hum), ces filha puta, j'les finis
Yah, on les rend amis, ennemis, yah, on les rend ennemis, amis, yah
J'ai les poches pleines, tu m'suis, j'ai fait le calcul de plus le calculer lui, yah (ouh)
Comportement dans la zone, yah, comporte avec les hommes, yah
Garde la pêche, moi, j'ai la forme, forme, temenik, on te déforme
Car c'est trop vrai, t'as l'regard et l'fond mauvais, quand j'galère, toi t'es refait (eh)
Au lit, t'es mauvais (eh), ta gadji, on la connaît (eh, eh)
Au parloir, elle a tourné (eh, eh), cognée par des prisonniers (ouh, ouh)
Tu dois des sous, sous, sous, tu fais la mala dans les ""boum, boum, boum""
Pour de la monnaie, on te click, click, boum, l'alcool, on la glou, glou, glou (glou, glou, glou)
Tu dois des sous, sous, sous, tu fais la mala dans les ""boum, boum, boum""
Pour de la monnaie, on te click, click, boum, l'alcool, on la glou, glou, glou (glou, glou, glou)
Wesh, tu veux pas la guerre mais pourquoi tu allumes la mèche (mèche, mèche)
J'suis dans la zone, j'évite les putas, wesh
Moi, j'écoute pas les gens et ma Clio, elle est sur les jantes
J'fais que fumer le jaune, des fois, avec un peu de Marie-Jeanne
Hier, j'étais bleu, j'voulais un Porsche GT bleu (bleu)
Y avait le pain, on était plein, y avait pas un, on était deux (deux)
J'suis dans le bloc, ma biche, dans la zone, c'est chacun sa kich' (sa kich')
Y a eu des traîtres, des traîtres, des traîtres, nique sa mère, c'est rien, ma3lich
Au quartier, y a d'la vente d'armes, nouvelle paire, j'paye en espèces
Fais belek, y a les gendarmes, ils sont loin, c'est bon, déstresse
C'est tous pour la plata, retour de flamme, fumar mata (brh)
Ça danse en équipe sur le chant des ""ratata""
En bande organisée, personne peut nous canaliser
Dans la zone, ça fume la fusée, pisté par les banalisées
Hasta luego, fais-en un, hasta luego, fais-en deux
Hasta luego, ouh, ouh, hasta luego, bam, bam
En bande organisée, personne peut nous canaliser
Dans la zone, ça fume la fusée, pistés par les banalisées
Hasta luego, fais-en un, hasta luego, fais-en deux
Hasta luego, ouh, ouh, hasta luego, bam, bam"
Beau,Joseph Kamel,"Assis sur le trottoir la soirée n'est pas belle
Il est sûrement trop tard pour qu'elle prenne mon appel
Je laisserai un message pour avoir des nouvelles
Elle l'écoutera tout bas et le gardera pour elle
Cette nuit j'suis dans ma vie, elle en est tellement loin
Ses yeux rivés sur lui et sa peau sous ses mains
Assis sur le trottoir, c'est plus du tout pareil
Ce soir, j'envie celui qui veillera son réveil
Si tu savais comme c'est beau (oh-oh, oh-oh)
Si tu voyais comme c'est beau (oh-oh, oh-oh)
J'ai vu son reflet dans l'eau (oh-oh, oh-oh)
Si tu savais comme c'est beau (oh-oh, oh-oh)
Assise en face de moi, elle me regarde à peine
Quelque chose dans sa voix sonne comme un cœur qui saigne
Elle reçoit ce message qui soudain la rend belle
La lumière de l'écran, le sourire qu'il révèle
Cette nuit elle pense à lui, elle dit qu'elle n'y peut rien
J'me bats contre un souvenir en lui tenant la main
Assise en face de moi, c'est plus du tout pareil
Ce soir, j'envie celui qui lui manque au réveil
Si tu savais comme c'est beau (oh-oh, oh-oh)
Si tu voyais comme c'est beau (oh-oh, oh-oh)
J'ai vu son reflet dans l'eau (oh-oh, oh-oh)
Si tu savais comme c'est beau (oh-oh, oh-oh)
Elle a laissé son cœur entre nous
Entre nous et le reste
Elle a laissé son cœur à genoux
Sur le sol, des promesses
Elle a laissé son cœur entre nous
Elle nous laisse le pire et le reste elle s'en fout
Si tu savais comme c'est beau (si tu savais comme c'est beau, oh-oh, oh-oh)
Si tu voyais comme c'est beau (si tu voyais comme c'est beau, oh-oh, oh-oh)
J'ai vu son reflet dans l'eau (oh-oh, oh-oh)
Si tu savais comme c'est beau (oh-oh, oh-oh)
Si tu savais comme c'est beau
Si tu voyais comme c'est beau"
Bella,GIMS,"Bella, Bella
Bella, Bella
Bella, Bella
Bella, Bella

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

C'était un phénomène, elle n'était pas humaine
Le genre de femme qui change le plus grand délinquant en gentleman
Une beauté sans pareille, tout le monde veut s'en emparer
Sans savoir qu'elle les mène en bateau
Hypnotisés, on pouvait tout donner
Elle n'avait qu'à demander, puis aussitôt on démarrait
On cherchait à l'impressionner, à devenir son préféré
Sans savoir qu'elle les mène en bateau
Mais quand je la vois danser le soir
J'aimerais devenir la chaise sur laquelle elle s'assoit
Ou moins que ça, un moins que rien
Juste une pierre sur son chemin

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Oui, c'est un phénomène qui aime hanter nos rêves
Cette femme était nommée ""Bella la peau dorée""
Les femmes la haïssaient, toutes la jalousaient
Mais les hommes ne pouvaient que l'aimer
Elle n'était pas d'ici, ni facile, ni difficile
Synonyme de ""magnifique"", à ses pieds: que des disciples
Qui devenaient vite indécis, tremblants comme des feuilles
Elle te caressait sans même te toucher
Mais quand je la vois danser le soir
J'aimerais devenir la chaise sur laquelle elle s'assoit
Ou moins que ça, un moins que rien
Juste une pierre sur son chemin

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Allez, fais-moi tourner la tête, hé hé
Tourner la tête, hé hé
Rends-moi bête comme mes ieds-p', hé hé
Bête comme mes ieds-p', hé hé
J'suis l'ombre de ton ien-ch', hé hé
L'ombre de ton ien-ch', hé hé
Fais-moi tourner la tête, hé hé
Tourner la tête, hé hé
Fais-moi tourner la tête, hé hé
Tourner la tête, hé hé
Rends-moi bête comme mes ieds-p', hé hé
Bête comme mes ieds-p', hé hé
J'suis l'ombre de ton ien-ch', hé hé
L'ombre de ton ien-ch', hé hé
Fais-moi tourner la tête, hé hé
Tourner la tête, hé hé

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là"
Bruxelles je t'aime,Angèle,"On n'a pas les tours de New York
On n'a pas de lumière du jour, 6 mois dans l'année
On n'a pas Beaubourg ni la Seine
On n'est pas la ville de l'amour, mais bon vous voyez
Et sûrement que dès ce soir le ciel couvrira une tempête
Mais après l'orage avec des bières, les gens feront la fête
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
Bruxelles je t'aime, Bruxelles je t'aime
T'es ma préférée
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
T'es la plus belle, oui t'es la plus belle
Paris m'appelle quand je veux rentrer chez moi
Quand le ciel gris et la pluie me manquent, je vais mieux quand je te vois
Les villes sont belles mais moi je ne pense qu'à toi
Quand mon pays et ma ville me manquent, moi je ne t'oublie pas
On n'a pas la plus longue de toutes les histoires
On le sait on n'a pas toujours gagné
Et d'habitude, j'ai l'attitude, même si c'est dur, de garder espoir
Quand on n'est pas les premiers
Les Marolles, Flagey, Saint-Gilles, Laeken à qui je dois mon nom
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
Bruxelles je t'aime, Bruxelles je t'aime
T'es ma préférée
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
T'es la plus belle, oui, t'es la plus belle
Paris m'appelle quand je veux rentrer chez moi
Quand le ciel gris et la pluie me manquent, je vais mieux quand j'te vois
Les villes sont belles mais moi je ne pense qu'à toi
Quand mon pays et ma ville me manquent, moi, je ne t'oublie pas
Et si un jour elle se sépare et qu'on ait à choisir un camp
Ce serait le pire des cauchemars, tout ça pour une histoire de langue
J'ai vécu mes plus belles histoires en français et en flamand
Laat mij het zeggen in het Vlaams, dank u Brussel voor mijn naam
Et si un jour, elle se sépare et qu'on ait à choisir un camp
Ce serait le pire des cauchemars, tout ça pour une histoire de langue
J'ai vécu mes plus belles histoires en français et en flamand
Laat mij het zeggen in het Vlaams, dank u Brussel
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
Bruxelles je t'aime, Bruxelles je t'aime
T'es ma préférée
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
T'es la plus belle, oui, t'es la plus belle
Paris m'appelle quand je veux rentrer chez moi
Quand le ciel gris et la pluie me manquent, je vais mieux quand j'te vois
Les villes sont belles mais moi je ne pense qu'à toi
Quand mon pays et ma ville me manquent, moi, je ne t'oublie pas
Paris m'appelle quand je veux rentrer chez moi
Quand le ciel gris et la pluie me manquent, je vais mieux quand j'te vois
Les villes sont belles mais moi je ne pense qu'à toi
Quand mon pays et ma ville me manquent, moi, je ne t'oublie pas"
Casser la voix,Patrick Bruel,"Si ce soir, j'ai pas envie d'rentrer tout seul
Si ce soir, j'ai pas envie d'rentrer chez moi
Si ce soir, j'ai pas envie d'fermer ma gueule
Si ce soir, j'ai envie d'me casser la voix
Casser la voix
Casser la voix
Casser la voix
Casser la voix
J'peux plus croire tout c'qui est marqué sur les murs
J'peux plus voir, la vie des autres même en peinture
J'suis pas là pour les sourires d'après minuit
M'en veux pas, si ce soir, j'ai envie
Casser la voix
Casser la voix
Casser la voix
Casser la voix
Les amis qui s'en vont et les autres qui restent
Se faire prendre pour un con par des gens qu'on déteste
Les rendez-vous manqués et le temps qui se perd
Entre des jeunes usés et des vieux qui espèrent
Et ces flashes qui aveuglent à la télé', chaque jour
Et les salauds qui beuglent la couleur de l'amour
Et les journaux qui traînent, comme je traîne mon ennui
La peur qui est la mienne quand je m'réveille la nuit
Casser la voix
Casser la voix
Casser la voix
Casser la voix
Et les filles de la nuit qu'on voit jamais le jour
Et qu'on couche dans son lit en appelant ça d'l'amour
Et les souvenirs honteux qu'on oublie d'vant sa glace
En s'disant, j'suis dégueu, mais j'suis pas dégueulasse
Doucement les rêves qui coulent sous l'regard des parents
Et les larmes qui roulent sur les joues des enfants
Et les chansons qui viennent comme des cris dans la gorge
Envie d'crier sa haine comme un chat qu'on égorge
Casser la voix
Casser la voix
Casser la voix
Casser la voix
Si ce soir, j'ai pas envie d'rentrer tout seul
Si ce soir, j'ai pas envie d'rentrer chez moi
Si ce soir, j'ai pas envie d'fermer ma gueule
Si ce soir, j'ai envie d'me casser la voix
Casser la voix"
Cendrillon,Téléphone,"Cendrillon, pour ses 20 ans
Est la plus jolie des enfants
Son bel amant, le prince charmant
La prend sur son cheval blanc
Elle oublie le temps
Dans ce palais d'argent
Pour ne pas voir qu'un nouveau jour se lève
Elle ferme les yeux, et dans ses rêves
Elle part
Jolie petite histoire
Elle part
Jolie petite histoire
Cendrillon, pour ses 30 ans
Est la plus triste des mamans
Le prince charmant a foutu le camp
Avec la belle au bois dormant
Elle a vu 100 chevaux blancs
Loin d'elle emmener ses enfants
Elle commence à boire
À traîner dans les bars
Emmitouflée dans son cafard
Maintenant elle fait le trottoir
Elle part
Jolie petite histoire
Elle part
Jolie petite histoire
10 ans de cette vie ont suffi
À la changer en junkie
Et dans un sommeil infini
Cendrillon voit finir sa vie
Les lumières dansent
Dans l'ambulance
Et elle tue sa dernière chance
Tout ça n'a plus d'importance
Elle part
Fin de l'histoire
Notre Père, qui êtes si vieux
As-tu vraiment fait de ton mieux?
Car sur la terre et dans les cieux
Tes anges n'aiment pas devenir vieux"
